x_value,channel_1,channel_2,channel_3
318,0552,0542,"0562
"
319,0555,0551,"0546
"
320,0529,0549,"0534
"
321,0544,0529,"0541
"
322,0556,0546,"0528
"
323,0544,0524,"0528
"
324,0539,0559,"0549
"
325,0531,0560,"0552
"
326,0529,0557,"0551
"
327,0528,0553,"0542
"
328,0554,0550,"0536
"
329,0553,0544,"0519
"
330,0529,0545,"0518
"
331,0518,0532,"0539
"
332,0547,0534,"0553
"
333,0537,0559,"0556
"
334,0541,0575,"0585
"
335,0544,0543,"0580
"
336,0533,0560,"0568
"
337,0556,0554,"0553
"
338,0539,0567,"0570
"
339,0563,0572,"0584
"
340,0548,0546,"0540
"
341,0555,0548,"0532
"
342,0550,0539,"0558
"
343,0548,0536,"0560
"
344,0548,0532,"0557
"
345,0544,0523,"0540
"
346,0557,0542,"0568
"
347,0566,0567,"0577
"
348,0539,0575,"0591
"
349,0556,0563,"0575
"
350,0575,0590,"0572
"
351,0578,0556,"0553
"
352,0547,0536,"0557
"
353,0545,0528,"0547
"
354,0528,0540,"0566
"
355,0553,0546,"0538
"
356,0556,0545,"0525
"
357,0540,0563,"0551
"
358,0537,0573,"0577
"
359,0529,0562,"0565
"
360,0550,0549,"0542
"
361,0560,0557,"0549
"
362,0538,0568,"0567
"
363,0560,0567,"0575
"
364,0578,0551,"0552
"
365,0544,0526,"0540
"
366,0556,0543,"0570
"
367,0570,0575,"0593
"
368,0568,0580,"0556
"
369,0550,0550,"0541
"
370,0560,0556,"0546
"
371,0532,0559,"0551
"
372,0533,0564,"0562
"
373,0549,0548,"0539
"
374,0556,0550,"0537
"
375,0558,0554,"0539
"
376,0562,0563,"0556
"
377,0549,0546,"0530
"
378,0543,0573,"0572
"
379,0570,0589,"0566
"
380,0567,0586,"0556
"
381,0549,0552,"0540
"
382,0557,0555,"0543
"
383,0567,0572,"0572
"
384,0576,0550,"0543
"
385,0571,0574,"0577
"
386,0544,0539,"0570
"
387,0561,0558,"0561
"
388,0555,0552,"0544
"
389,0525,0542,"0566
"
390,0552,0545,"0535
"
391,0552,0538,"0559
"
392,0552,0541,"0571
"
393,0568,0569,"0580
"
394,0546,0540,"0574
"
395,0569,0572,"0589
"
396,0561,0567,"0581
"
397,0543,0580,"0555
"
398,0538,0575,"0583
"
399,0538,0578,"0550
"
400,0525,0551,"0538
"
401,0542,0574,"0573
"
402,0565,0580,"0550
"
403,0535,0573,"0576
"
404,0523,0553,"0549
"
405,0517,0533,"0554
"
406,0523,0536,"0560
"
407,0536,0559,"0561
"
408,0543,0577,"0544
"
409,0518,0541,"0561
"
410,0536,0564,"0566
"
411,0552,0549,"0542
"
412,0559,0557,"0549
"
413,0535,0564,"0559
"
414,0543,0582,"0551
"
415,0531,0566,"0562
"
416,0540,0575,"0585
"
417,0537,0577,"0549
"
418,0522,0545,"0525
"
419,0520,0533,"0546
"
420,0514,0523,"0532
"
421,0528,0539,"0561
"
422,0540,0566,"0569
"
423,0554,0554,"0550
"
424,0525,0541,"0563
"
425,0536,0560,"0557
"
426,0526,0548,"0534
"
427,0528,0546,"0524
"
428,0515,0524,"0525
"
429,0513,0514,"0511
"
430,0532,0541,"0552
"
431,0520,0533,"0553
"
432,0515,0523,"0536
"
433,0527,0537,"0558
"
434,0530,0547,"0536
"
435,0538,0564,"0557
"
436,0542,0579,"0545
"
437,0524,0552,"0535
"
438,0547,0540,"0559
"
439,0551,0545,"0533
"
440,0552,0540,"0561
"
441,0556,0551,"0547
"
442,0533,0558,"0552
"
443,0531,0560,"0556
"
444,0536,0569,"0572
"
445,0564,0574,"0589
"
446,0553,0557,"0562
"
447,0548,0537,"0564
"
448,0547,0531,"0557
"
449,0533,0551,"0548
"
450,0513,0520,"0526
"
451,0497,0532,"0545
"
452,0486,0522,"0530
"
453,0505,0548,"0532
"
454,0524,0542,"0561
"
455,0538,0570,"0577
"
456,0521,0544,"0536
"
457,0533,0556,"0545
"
458,0517,0535,"0556
"
459,0535,0562,"0563
"
460,0565,0572,"0579
"
461,0550,0552,"0549
"
462,0538,0564,"0560
"
463,0548,0542,"0570
"
464,0555,0549,"0543
"
465,0553,0541,"0564
"
466,0538,0561,"0562
"
467,0527,0550,"0541
"
468,0513,0522,"0530
"
469,0472,0527,"0534
"
470,0393,0506,"0549
"
471,0408,0522,"0540
"
472,0450,0506,"0553
"
473,0455,0510,"0563
"
474,0474,0539,"0575
"
475,0506,0557,"0564
"
476,0510,0565,"0574
"
477,0533,0570,"0584
"
478,0515,0539,"0577
"
479,0497,0542,"0580
"
480,0501,0551,"0557
"
481,0509,0561,"0560
"
482,0519,0543,"0573
"
483,0538,0568,"0577
"
484,0509,0567,"0578
"
485,0504,0564,"0574
"
486,0540,0578,"0553
"
487,0539,0579,"0545
"
488,0522,0550,"0535
"
489,0537,0569,"0564
"
490,0555,0565,"0569
"
491,0576,0548,"0543
"
492,0587,0555,"0549
"
493,0563,0565,"0563
"
494,0575,0593,"0571
"
495,0587,0576,"0542
"
496,0581,0554,"0540
"
497,0576,0540,"0558
"
498,0560,0555,"0551
"
499,0543,0575,"0581
"
500,0542,0585,"0562
"
501,0552,0557,"0553
"
502,0537,0566,"0567
"
503,0557,0562,"0564
"
504,0559,0564,"0568
"
505,0566,0573,"0585
"
506,0552,0553,"0554
"
507,0536,0560,"0555
"
508,0537,0568,"0570
"
509,0557,0562,"0566
"
510,0558,0560,"0558
"
511,0546,0536,"0560
"
512,0542,0567,"0572
"
513,0561,0568,"0575
"
514,0571,0584,"0558
"
515,0550,0552,"0540
"
516,0554,0548,"0528
"
517,0536,0558,"0543
"
518,0558,0559,"0549
"
519,0531,0559,"0551
"
520,0527,0553,"0541
"
521,0548,0539,"0559
"
522,0544,0529,"0553
"
523,0531,0548,"0537
"
524,0542,0567,"0562
"
525,0544,0538,"0562
"
526,0538,0561,"0559
"
527,0528,0549,"0534
"
528,0511,0557,"0541
"
529,0484,0526,"0535
"
530,0507,0549,"0530
"
531,0479,0554,"0534
"
532,0483,0524,"0527
"
533,0466,0529,"0537
"
534,0448,0501,"0543
"
535,0461,0516,"0527
"
536,0469,0531,"0546
"
537,0478,0551,"0538
"
538,0506,0558,"0545
"
539,0490,0535,"0551
"
540,0494,0536,"0557
"
541,0499,0545,"0532
"
542,0497,0542,"0560
"
543,0495,0544,"0530
"
544,0491,0529,"0539
"
545,0505,0550,"0536
"
546,0510,0563,"0552
"
547,0502,0560,"0549
"
548,0495,0547,"0531
"
549,0506,0556,"0542
"
550,0529,0557,"0545
"
551,0498,0552,"0537
"
552,0517,0534,"0549
"
553,0503,0551,"0540
"
554,0527,0551,"0536
"
555,0531,0557,"0548
"
556,0511,0567,"0565
"
557,0534,0571,"0579
"
558,0520,0544,"0535
"
559,0529,0547,"0528
"
560,0524,0533,"0504
"
561,0530,0545,"0487
"
562,0510,0558,"0511
"
563,0539,0576,"0507
"
564,0542,0583,"0518
"
565,0519,0553,"0517
"
566,0506,0560,"0529
"
567,0522,0547,"0515
"
568,0507,0558,"0530
"
569,0540,0576,"0520
"
570,0532,0566,"0542
"
571,0553,0557,"0539
"
572,0556,0554,"0533
"
573,0545,0534,"0543
"
574,0557,0550,"0530
"
575,0543,0573,"0565
"
576,0555,0564,"0561
"
577,0549,0546,"0533
"
578,0544,0527,"0539
"
579,0550,0535,"0558
"
580,0541,0566,"0571
"
581,0558,0565,"0572
"
582,0563,0571,"0584
"
583,0541,0580,"0556
"
584,0533,0568,"0570
"
585,0550,0553,"0550
"
586,0523,0541,"0566
"
587,0543,0575,"0590
"
588,0548,0549,"0549
"
589,0525,0540,"0563
"
590,0544,0528,"0548
"
591,0520,0524,"0538
"
592,0540,0559,"0545
"
593,0518,0534,"0545
"
