x_value,channel_1,channel_2,channel_3
469,597,1023,790
470,636,1023,791
471,649,1022,771
472,611,1023,752
473,638,1022,750
474,651,1023,763
475,664,1023,768
476,596,1023,770
477,577,1023,778
478,603,1023,794
479,643,1023,786
480,639,1023,767
481,663,1022,747
482,647,1023,756
483,663,1023,765
484,664,1022,766
485,646,1022,766
486,644,1023,782
487,630,1022,792
488,647,1022,778
489,624,1022,757
490,646,1022,745
491,642,1023,760
492,661,1023,767
493,661,1023,770
494,592,1022,770
495,588,1023,789
496,632,1023,792
497,646,1023,775
498,619,1023,754
499,643,1023,752
500,655,1023,764
501,667,1022,765
502,652,1023,769
503,589,1023,777
504,604,1023,794
505,644,1022,785
506,637,1022,765
507,657,1023,749
508,648,1023,756
509,664,1023,766
510,668,1023,769
511,596,1022,768
512,575,1022,778
513,605,1023,794
514,644,1023,783
515,634,1023,763
516,656,1023,749
517,652,1023,760
518,666,1022,764
519,657,1023,769
520,589,1022,769
521,583,1023,787
522,626,1023,794
523,649,1022,774
524,618,1023,755
525,643,1023,750
526,653,1023,763
527,668,1023,768
528,601,1023,770
529,578,1023,776
530,596,1022,790
531,635,1023,789
532,644,1023,771
533,611,1023,750
534,638,1023,756
535,662,1022,763
536,663,1022,765
537,646,1023,770
538,589,1022,777
539,606,1023,794
540,645,1023,785
541,637,1023,765
542,660,1023,749
543,653,1022,756
544,663,1023,766
545,664,1023,769
546,590,1022,768
547,577,1023,785
548,619,1022,792
549,642,1023,779
550,624,1022,755
551,643,1023,748
552,651,1022,759
553,664,1023,767
554,660,1023,769
555,587,1022,772
556,589,1023,791
557,636,1023,791
558,648,1023,773
559,613,1023,752
560,639,1022,751
561,656,1023,763
562,664,1023,767
563,654,1023,770
564,588,1023,779
565,609,1023,795
566,647,1023,786
567,639,1022,764
568,655,1023,748
569,648,1023,757
570,668,1023,766
571,667,1023,769
572,591,1022,767
573,632,1023,783
574,628,1022,793
575,647,1023,780
576,627,1023,759
577,652,1023,749
578,659,1023,762
579,672,1023,767
580,662,1023,770
581,586,1023,774
582,592,1023,791
583,636,1023,793
584,648,1023,774
585,615,1022,749
586,637,1023,751
587,659,1023,764
588,667,1023,768
589,594,1023,771
590,575,1023,779
591,603,1023,798
592,651,1023,790
593,648,1023,767
594,665,1022,744
595,644,1023,754
596,665,1023,765
597,666,1023,769
598,589,1022,768
599,569,1023,785
600,616,1022,796
601,649,1023,783
602,634,1022,757
603,649,1023,745
604,655,1022,756
605,668,1023,766
606,659,1022,767
607,632,1022,769
608,587,1023,791
609,635,1022,795
610,653,1022,773
611,615,1023,750
612,640,1023,747
613,661,1023,762
614,671,1023,768
615,593,1023,770
616,564,1023,779
617,597,1023,800
618,596,1022,790
619,635,1023,767
620,658,1023,744
621,645,1022,750
622,662,1023,763
623,663,1023,769
624,585,1023,771
625,571,1023,787
626,620,1023,807
627,618,1023,790
628,640,1023,760
629,650,1023,738
630,635,1023,754
631,658,1023,764
632,655,1023,769
633,580,1023,771
634,581,1022,792
635,630,1022,802
636,610,1023,780
637,618,1023,750
638,635,1023,739
639,643,1023,760
640,664,1023,767
641,655,1023,770
642,578,1023,779
643,599,1023,805
644,609,1023,802
645,605,1023,772
646,579,1023,717
647,599,1023,744
648,613,1022,758
649,643,1023,765
650,659,1023,756
651,623,1023,789
652,642,1023,814
653,642,1023,798
654,666,1023,765
655,672,1023,740
656,659,1022,751
657,674,1022,761
658,657,1022,764
659,617,1023,767
660,632,1023,312
661,505,1022,751
662,596,1023,1023
663,728,1023,1023
664,756,1023,446
665,597,1022,252
666,518,1023,139
667,439,1023,104
668,396,1022,0
669,339,1023,35
